id,name,type,portion,calories,fat,carbs,sugar,protein,vegan,vegetarian,keto,diabetic,pescatarian 
1,american_cheese,dairy,113g,347,26g,10g,7.1g,18g,0,1,1,1,1
2,asiago,dairy,28g,100,8g,0g,0g,7g,0,1,1,1,1
3,blue_cheese,dairy,28g,100,8.1g,0.7g,0.1g,6.1g,0,1,1,1,1
4,brie,dairy,144g,481,40g,0.7g,0.7g,30g,0,1,1,1,1
5,butter,dairy,100g,731,78g,0g,0.1g,0.5g,0,1,1,1,1
6,buttermilk,dairy,100g,62,3.3g,4.9g,4.9g,3.2g,0,1,0,1,1
7,camembert,dairy,28g,85,6.9g,0.1g,0.1g,5.6g,0,1,1,1,1
8,cheddar,dairy,113g,461,38g,2.8g,0.4g,26g,0,1,1,1,1
9,chèvre,dairy,28g,103,8g,0g,0g,6g,0,1,1,1,1
10,chocolate,dairy,18g,95,6g,11g,8.8g,0.8g,0,1,1,0,1
11,condensed_milk,dairy,304g,976,26g,165g,165g,24g,0,1,0,0,1
12,cotija,dairy,100g,366,30g,4g,0g,20g,0,1,0,1,1
13,cottage_cheese,dairy,210g,300,21g,6.7g,5.3g,22g,0,1,0,1,1
14,cream_cheese,dairy,15g,51,5g,0.8g,0.6g,0.9g,0,1,1,1,1
15,crème_fraiche,dairy,230g,897,100g,5.6g,5.5g,5.4g,0,1,1,1,1
16,curd,dairy,20g,70,1g,14g,14g,0g,0,1,1,1,1
17,emmental,dairy,17g,70,5g,0g,0g,5g,0,1,1,1,1
18,evaporated_milk,dairy,252g,338,19g,25g,25g,17g,0,1,0,1,1
19,feta,dairy,150g,398,32g,5.8g,0g,21g,0,1,1,1,1
20,ghee,dairy,100g,876,99g,0g,0g,0.3g,0,1,1,1,1
21,goat_cheese,dairy,140g,510,42g,0.2g,0.2g,30g,0,1,1,1,1
22,goat_milk,dairy,240g,101,2.5g,11g,11g,8g,0,1,0,1,1
23,gouda,dairy,28g,101,7.8g,0.6g,0.6g,7.1g,0,1,1,1,1
24,greek_yogurt,dairy,245g,238,12g,9.8g,9.8g,22g,0,1,1,1,1
25,heavy_cream,dairy,240g,816,87g,6.8g,7g,6.8g,0,1,1,1,1
26,ice_cream,dairy,135g,279,15g,32g,29g,4.7g,0,1,0,0,1
27,kefir,dairy,243g,104,2.5g,12g,11g,9.2g,0,1,1,1,1
28,kumis,dairy,100g,1875,50g,250g,225g,125g,0,1,0,0,1
29,malted_milk,dairy,256g,164,4.9g,22g,20g,8.2g,0,1,0,0,1
30,manchego,dairy,28g,120,10g,0g,0g,6g,0,1,1,1,1
31,marble_cheese,dairy,30g,120,10g,1g,0g,7g,0,1,1,1,1
32,milk,dairy,244g,146,7.8,11g,12g,8g,0,1,0,0,1
33,monterey_jack,dairy,113g,421,34g,0.8g,0.6g,28g,0,1,1,1,1
34,mozzerella,dairy,85g,240,6g,1g,0g,6g,0,1,1,1,1
